,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,created_at
0,Luv_Jill_n_Kay,,Genoa City,158,235,1519,0,"@AnastasiaBarzee @dadderto @GavinNewsom @CAgovernor NY stated vaccinating those with underlying conditions on Feb 15th. They can by any age or any occupation.
https://t.co/12yOs2LdJt",[],2021-02-26 21:52:47
1,SomaPsycheYogi,"Seeker. Playing, laughing and thriving at the intersection of Body, Mind & Spirituality. Inspired, I inspire. #Meditation #Yoga #SocialJustice","Colorado, USA",2641,535,32347,0,Elderly parents ages 85 &amp; 80 are finally #vaccinated 😅 #vaccines #COVID19Vaccine https://t.co/yeYiP5CScQ,"['vaccinated', 'vaccines', 'COVID19Vaccine']",2021-02-26 21:52:31
2,tommyburd,,,2623,162,116,0,"Three items with regard to the #COVID19Vaccine today I received today. 

1)

My conversation with the nurse:
“Are you guys running out of vaccine each day?”
-No
“Isn’t that a bad thing?”
-No, why would we want to run out?",['COVID19Vaccine'],2021-02-26 21:52:29
3,Wisemanbwise,"Life Coach. Head of Communications  @St.Michaels House, disability services.Believer in Education & Innovation. Marathon mom & runner. Opinions are my own.",Dublin ,478,160,555,0,I love this story 💪🏼😎😎.. @HSELive @HSECHODNCC @olivekelly25 🙌 #COVID19Vaccine https://t.co/481FEfoeop,['COVID19Vaccine'],2021-02-26 21:52:25
4,GBJ2525,"65+yo male. For social justice, climate science & fair treatment of asylum seekers. Christian atheist. Aim to identify blinkers on lefties & (rarely)-righties.","Bundaberg, Queensland",663,174,6982,0,"@SkyNewsAust Yes. #SkyFakeNewsAust!
Aust Federal Govt has responsibilities for the nation's #COVID19Vaccine rollout. Greg Hunt set deadlines.","['SkyFakeNewsAust', 'COVID19Vaccine']",2021-02-26 21:52:14
5,mcbyrne,always fighting for someone i don’t know. alum @berniesanders’16’20. banned from trump https://t.co/wAWoEA9Jpx college.#cancelstudentdebt,"philly. (and dc, nyc, and ca)",11941,27839,134844,0,DC folks- #COVID19Vaccine waitlist at Walmart. https://t.co/LMFVcUqoBd,['COVID19Vaccine'],2021-02-26 21:51:45
6,TammySexton1,Coffee drinker. Novice runner. Avid reader. Green Bay Packer fan. Wishing life would slow down.,"Wilmington, Ohio",114,73,343,0,Got my 1st dose today.  Thank you Highland County and Greenfield Exempted Schools. #COVID19Vaccine https://t.co/8AVyAnYpum,['COVID19Vaccine'],2021-02-26 21:51:34
7,JackieCms,"🇺🇸 🗽 JD, Writer, Researcher, Democrat #Resist 
#WearAMask 
🍎 💪",New York,2536,2943,14368,0,"@focused4USA @NBCNewYork Yes, they've always been part of phase 1b.
""Public facing grocery store workers, including convenience store and bodega workers""
List of eligible NY'ers and a lot of other info at https://t.co/KrI9wMq6dX  (see Distribution Plan tab)",[],2021-02-26 21:51:18
8,plumpixie3021,,,425,78,1106,0,"Thank you @happywithpardee @BlueRidgeHealth @HCPSNC !
1st Covid vaccine done. VERY grateful!!

#COVID19Vaccine 
#SleevesUp4Schools 
#partofthesolution 
#StopTheSpread https://t.co/QcHayDhUrL","['COVID19Vaccine', 'SleevesUp4Schools', 'partofthesolution', 'StopTheSpread']",2021-02-26 21:51:15
9,TPCHD,We protect and improve the health of all people and places in Pierce County.,"Pierce County, Washington",643,6464,5155,0,"🔎 The state’s Roadmap to Recovery. ➡️ https://t.co/vnY87IbM8B
🔎️ COVID-19 vaccines. ➡️ https://t.co/VsYZIgwRlf
🔎️ Childcare and schools. ➡️ https://t.co/ygTikb7btI 
🔎️ Getting a COVID-19 test. ➡️ https://t.co/MlTuwbKy5R",[],2021-02-26 21:51:07
10,lenamorsch,"#Writer. Cat Person. #Literature Aficionado. #Jazz, #Metal & #Transcendentalist Fan. #CHD Survivor & Advocate. I, myself, am strange and unusual.",United States,321,514,3988,0,I received my first #COVID19Vaccine this afternoon at @SIUC's Banterra Arena. Haven't been this happy to arrive at the arena since @kiss @PaulStanleyLive played here! 🤘🤘🤘 https://t.co/4dKvhnip6U,['COVID19Vaccine'],2021-02-26 21:50:58
11,NancyAdairB,Suffers from addictions to books and quilts. Retired with time enough at last. Book reviewer. Quilmaker.,"Michigan, USA",871,470,11424,0,My husband got his #COVID19Vaccine vaccination today and I am scheduled for next week! Such a relief!,['COVID19Vaccine'],2021-02-26 21:50:57
12,BlairReports,Reporter for WTOC 11 | Graduate of Rossford HS and Huntington University | Exodus 14:14 | wife and cat lover | email:bcaldwell@wtoc.com,,418,1305,3391,0,"@SCCPSS leaders tell me a survey of their staff showed nearly 50% of the 4,200 who responded would get their #covid19vaccine. 

They are working with community partners to plan clinics now after the governors announcement to expand eligibility. More tonight on The News at 6. https://t.co/i6crjZAyL0",['covid19vaccine'],2021-02-26 21:50:45
13,Jimmy270288,"Business Owner, MCFC Supporter. Bury AFC player","Manchester, England",801,606,1694,0,Lockdown 6.0 someone grass on us ya boring cunts!! #COVID19Vaccine #VaccinePassports #coronavirus https://t.co/2s7mHHh148,"['COVID19Vaccine', 'VaccinePassports', 'coronavirus']",2021-02-26 21:50:20
14,skelleyJones,"Military wife @NCNationalGuard and Mom of 2, Certified K-6 Educator, 3rd grade Teacher and CHAMPION for Education @MCPSsandcastle @CarteretK12",,124,48,120,0,Fighting #COVID one dose at a time....thankful that #teachers can start this process! @CarteretK12 #COVID19Vaccine #ncpublicschools https://t.co/wvFX4CvdHE,"['COVID', 'teachers', 'COVID19Vaccine', 'ncpublicschools']",2021-02-26 21:49:59
15,BlueFemmeNWF,"I believe in diversity, equality, compassion, human rights, and sharing the wealth. RTs may or may not signal agreement. She/her. #DemocracyForAll",Northwest Florida,792,271,2947,0,"Looking at you, @GovRonDeSantis. I've tweeted that phrase a LOT, lately. Is the #COVID19Vaccine only for the wealthy? https://t.co/Sk6oS3JNPz",['COVID19Vaccine'],2021-02-26 21:49:55
16,SheriffSF,"This SF Sheriff Twitter account is not monitored 24/7. To report a crime, call 9-1-1 in an emergency.

Our public social media policy:  https://t.co/cHnHpnYHoe","San Francisco, CA",780,4492,2305,0,"CA opened Tier 1, Phase 1B making emergency service workers eligible for #COVID19Vaccine. Sheriff Miyamoto registered at https://t.co/5wjSzQM22L. and got his first vaccine today at Moscone Center. Watch &amp; see. https://t.co/RvGrReZ7sf",['COVID19Vaccine'],2021-02-26 21:49:40
17,Max_Horstmann,Software Developer at @StackOverflow.,"New York, NY",2395,940,2823,0,"@turbovax hi, any plans on adding NY State locations outside of NYC? (see https://t.co/rlq8XUhtnh)",[],2021-02-26 21:49:01
18,19bootsy68,"Winner Of The Woodside Tavern Christmas Hamper 1989. Cyclist
looking for that perfect hill to ride down at great speed.",. ,67,58,2341,0,@jowhiley Thank you Jo and @NHSuk...my autistic 19 year old son was vaccinated today 💖. #jowhiley #COVID19Vaccine #vaccinated #vaccine #NHS,"['jowhiley', 'COVID19Vaccine', 'vaccinated', 'vaccine', 'NHS']",2021-02-26 21:47:55
19,spetersen175,#atheist #secular #politcalrealist,United States,364,150,9088,0,@TeaRoomBetty The #COVID19Vaccine lottery in my state.,['COVID19Vaccine'],2021-02-26 21:47:33
20,NurseSVE,School Nurse From Shenandoah Valley Elementary,,69,8,55,0,"There is a lot of misinformation about the COVID-19 vaccine. If you have questions on if you should get the vaccine, don't rely on social media to help you decide. Ask your doctor or look at reputable, research-backed sources.
#COVID19Vaccine #VaccineAdvocate #StopMisinformation https://t.co/nRhcTcqjf7","['COVID19Vaccine', 'VaccineAdvocate', 'StopMisinformation']",2021-02-26 21:47:00
21,ProfGenKanter,"economist and asst professor geeking out on biomedical technologies, conflicts of interest, and good and bad ideas in the regulation of technology in medicine",University of Pennsylvania,510,525,1441,2,"ICYMI @Health_Affairs blog:

Vaccine enthusiasts @rgupta729 @jasonlschwartz @jsross119 and I identify ways @US_FDA's Vaccine Advisory Committee can continue to build public trust in #COVID19Vaccine and vaccines.

(Academic homes: @NCSP_Penn @PennLDI @PennMEHP @YaleSPH @NCSP_Yale) https://t.co/nRPUNP0u1P",['COVID19Vaccine'],2021-02-26 21:46:50
22,Bungied2theTree,"Pokémon Streamer and Speedrunner, Bad Movie Lover. He/Him Business: Bungied2theTree@gmail.com",Minnesota,1118,185,10605,0,We got to do the Vaccine thing. You should do that thing when you can too. Do what you can to protect your family and your community! #vaccine #COVID19Vaccine #WearAMask https://t.co/LKm3FkXaKk,"['vaccine', 'COVID19Vaccine', 'WearAMask']",2021-02-26 21:46:33
23,VaishaliAshar,"Views are my own. RT's are not endorsements. Passionate about health and social care, teaching, peer support, leaderful communities and life long learner",London,2414,581,9229,0,"I am so pleased that you got your covid-19 vaccination 👍🏻
I had no side effects, did take paracetamol in anticipation of ache at the site of vaccination.
#CovidVaccine #COVID19Vaccine #COVIDVaccination #COVIDvaccinated https://t.co/IgTMaYic48","['CovidVaccine', 'COVID19Vaccine', 'COVIDVaccination', 'COVIDvaccinated']",2021-02-26 21:46:23
24,Yorkkdheb,"Full time Carer (apparently) also totally undesirable

^Because when u r in love u think r u invincible, it blinds u. & u don't seem to care^",lost forever in that inbetween,2349,2542,20860,0,Had my #COVID19Vaccine today. My arm is hurting like a bitch https://t.co/O2GmZD96kZ,['COVID19Vaccine'],2021-02-26 21:46:17
25,martwadsley,Cancer Survivor 💪🌈🍀🤠,UK,485,248,3750,0,"@cindymizelle9 @blogness 
@SpringNuts_ 
#COVID19Vaccine 💪
It’s done!
First jab
🎩😎🌈🌶📚💪😀🖕😷 https://t.co/0JexfXYW4R",['COVID19Vaccine'],2021-02-26 21:46:16
26,taylorthelibra_,her/she; queen of compromise #queer #libra #lover,,97,100,3264,0,Finally booked my #COVID19Vaccine appointment,['COVID19Vaccine'],2021-02-26 21:46:01
27,msannapanda,"She/Her/Hers. Starting fresh on Twitter-wiped the slate clean. Panda fanatic, animal whisperer, rescue mama, foster mom, and interested in too many things.",,54,8,65,1,"If you are have or will get a #COVID19Vaccine - how far do you have to travel? Do you live in a rural area or metropolitan? 
I have to go 2.5 hours (170 miles) from Cleveland (metro) to Lima (rural) to get mine.",['COVID19Vaccine'],2021-02-26 21:44:46
28,t_robb1,"Award winning reporter, photographer & political editor at Journal & Topics Newspapers opinions are mine.",trobb@journal-topics.info,1412,785,7194,3,"@Maine_207 &amp; @advocatehealth to begin giving #COVID19Vaccine to specific Maine Twp based teachers, park dist ed staff qualified under 1B. NOT open for those 65+ in 1B.  
Talks ongoing w @CookCoHealth make @Maine_West a community vac ctr.  
https://t.co/8wYHJ94gwt
@NilesJournal",['COVID19Vaccine'],2021-02-26 21:44:30
29,KellyDaBunny,Flyers Rabbit. Ginger psychic. Philly 4 for 4. Retired airman. I lift things for a living. This is a tin foil hat free zone.  Wife of @JNigelRuhl ❤️🌹,PA,1736,861,43513,0,VACCINE 1 DONE! 💉 #COVID19Vaccine #grateful,"['COVID19Vaccine', 'grateful']",2021-02-26 21:44:12
30,stephjantzen,Healthcare Communications | Slayer of Anti-Science & Misinformation at the Intersection of Public Health and Politics. @imsayingpod,"Greater Sacramento, California",6893,7599,30609,1,"Big perk of getting vaccinated is two doses of the vaccination halts ASYMPTOMATIC TRANSMISSION (data out of Israel)-halting virus in your nose, mouth and throat. #COVID19Vaccine appears to be stopping this! - Dr. Hotez",['COVID19Vaccine'],2021-02-26 21:44:03
31,blairprincipal,Proud Principal of Montgomery Blair High School! The largest school in Maryland with over 3200 students. Wash Post Distinguished Leader #Powermeter100,"Silver Spring, Maryland",1290,4240,40184,0,Just received #COVID19Vaccine #2 from a #RealHero Thank You!💯👏🏽 https://t.co/LX3Cym0NkE,"['COVID19Vaccine', 'RealHero']",2021-02-26 21:43:03
32,poppet140,,"Seattle, WA",226,38,6626,0,@NBCNews This👏 Right👏 Here👏 Autoimmune disease is A POSSIBLE LONG TERM SIDE EFFECT from the covid-19 mRNA. I😳 Don't🙄Want😪Another😬Autoimmune🤒 Disease🤕#JohnHopkins #PfizerBioNTech #autoimmunedisease #COVID19 #COVID19Vaccine #mRNA So SHOVE your sanctimonious bullshit pandering https://t.co/fYX7843wgA,"['JohnHopkins', 'PfizerBioNTech', 'autoimmunedisease', 'COVID19', 'COVID19Vaccine', 'mRNA']",2021-02-26 21:42:56
33,abidanaz,تم کتنی معصوم لگتی ہو- تم کیوں اتنی اچھی لگتی ہو-پردیس میں ہو تو کیا ہوا-تم دل کو اب بھی دیسی لگتی ہو..,United States,278,5678,55343,0,"Update: First dose of Pfizer vaccine yesterday and its rough. I’m having high fever, body aches, headache🤨 and it’s not comfortable I’ll just say that. hoping tomorrow I’m back to normal 🙃InsahAllah 🤲🏻#COVID19Vaccine #PfizerVaccine","['COVID19Vaccine', 'PfizerVaccine']",2021-02-26 21:42:53
34,MarleeTuskesTV,WIVB @news4buffalo reporter • @NewhouseSU & @UBuffalo/@UBSpectrum alum • cat mom • opinions are my own,"Buffalo, NY",470,3479,3697,0,"@seankcorcoran Yep! It's the state's ""am I eligible"" site right here: https://t.co/jZzxnRDy8N",[],2021-02-26 21:42:33
35,LocalJusta,"#lynphoma
#cancerresearch",UK,23,9,370,0,Covid Vaccine tomorrow. Only just found out you can have the vaccine if on chemo 👍 #COVID19Vaccine #lynphoma,"['COVID19Vaccine', 'lynphoma']",2021-02-26 21:42:07
36,LougheedNico,,"Ontario, Canada",90,35,248,0,"FYI: if you receive your 2nd vaccination, be prepared to be a write off the next day 🙃 #COVID19Vaccine #worthit #SaveLives","['COVID19Vaccine', 'worthit', 'SaveLives']",2021-02-26 21:41:51
37,poppet140,,"Seattle, WA",226,38,6626,0,This👏 Right👏 Here👏 Autoimmune disease is A POSSIBLE LONG TERM SIDE EFFECT from the covid-19 mRNA. I😳 Don't🙄Want😪Another😬Autoimmune🤒 Disease🤕#JohnHopkins #PfizerBioNTech #autoimmunedisease #COVID19 #COVID19Vaccine #mRNA So SHOVE your sanctimonious bullshit guilt tripping! https://t.co/pIK7xziyJU,"['JohnHopkins', 'PfizerBioNTech', 'autoimmunedisease', 'COVID19', 'COVID19Vaccine', 'mRNA']",2021-02-26 21:41:42
38,Insane__Clarity,"For guys who want to empower themselves and regain their lives. Rethink, relearn and reinvent your life as a more successful man.",,47,31,58,1,"Which of these will you aim to get back on track first, as soon as the pandemic recedes?

#COVID19 #COVID19Vaccine #COVID #vaccine","['COVID19', 'COVID19Vaccine', 'COVID', 'vaccine']",2021-02-26 21:41:04
39,okchealth,"The OKC-County Health Department serves the residents of Oklahoma County by promoting and protecting health, preventing disease, and creating partnerships.","Oklahoma City, OK",156,7138,4891,7,"NEW APPOINTMENTS: #COVID19vaccine appointments are available for a 3/3/21 POD at https://t.co/rDuCT60hsy. Please plan to bring photo ID &amp; credentials if you are a Pre-K-12 teacher/support staff, first responder, or health care worker. (1/2) https://t.co/9FbkTHASMX",['COVID19vaccine'],2021-02-26 21:40:30
40,redheadpajarita,Colombian PhD candidate - Uni of Leeds (School of Civil Eng./School of Cellular & Molecular Bio) Microalgae researcher 👩‍🔬👩🏻‍🦰🇬🇧🔥🌿💦👩🏼‍🏫🇨🇴,"Leeds, England",417,104,208,0,My grandma got her first jab today in Colombia and I can’t help but feel a bit of light and hope. #PositiveVibes #COVID19Vaccine,"['PositiveVibes', 'COVID19Vaccine']",2021-02-26 21:40:08
41,CynthiaFoyles,"Jack Russell or Beagle? Tweets about everything & anything. No profanity (unless it’s my own) or disrespect shown anyone, unless it is me trolling someone.",Not in my crate,41,4,210,0,@ReporterGarriss @FOX13Memphis @MayorLeeHarris @FOX13Memphis So she will get a PENSION????! #COVID19Vaccine #ShelbyCountyTN,"['COVID19Vaccine', 'ShelbyCountyTN']",2021-02-26 21:39:39
42,giannitsarou,Economist @Cambridge_Uni @CamEcon #EconTwitter,"Cambridge, England",530,875,809,0,"Report from today: the vaccination process was impeccable. Well planned, efficient and quick. The nurses and personnel were super warm and friendly, and said I should get a star sticker for wearing the right clothes! Side effects: very painful arm and body aches. #COVID19Vaccine https://t.co/t3yXc3op4n",['COVID19Vaccine'],2021-02-26 21:39:23
43,AdonisPrince008,"International Peace & Conflict Resolution M.S. candidate at American University who strives to ensure global peace, security, and justice",Washington D.C.,175,28,2803,0,"@GovernorVA  @cnnbrk @MSNBC  @ChrisCuomo @AC360 @JoeBiden Everyone want teachers back in the classroom but can’t ensure they have the vaccine although they did what was asked of them and @fairfaxhealth can’t manage their      System, just a damn shame! #COVID19Vaccine",['COVID19Vaccine'],2021-02-26 21:39:14
44,MarySol36586991,I see what you see but may describe the view differently.,,1,0,6,0,Never have so many people been so public about doing Number 1 or Number 2 #marylsolomonsaiditfirst #covid #COVID19Vaccine #coronavirus,"['marylsolomonsaiditfirst', 'covid', 'COVID19Vaccine', 'coronavirus']",2021-02-26 21:38:22
45,LuminareCoach,"Re-Align | Re-Design | Re-Fine via Transformation. Envision Possibilities | Embark on Significant Change | Lead with Distinction! Forbes Coach Council, 2020","Silicon Valley, CA",1664,377,3275,0,"@CarbonHealth @sanmateoevntctr 3-Cheers...""Start to Finish... Service Excellence"" for #COVID19Vaccine! 3extra Cheers for traffic directors!",['COVID19Vaccine'],2021-02-26 21:38:12
46,LabHaynes,The laboratory of Dr. Laura Haynes at the UConn Center on Aging studies how aging & senescence impact immunity #UConn #aging #gerontology 👩🏻‍🔬👨🏻‍🔬🦠,"Connecticut, USA",478,163,979,0,"WOOHOO💉
Congrats Robert-take it easy tomorrow...that booster vax can hit hard 
#COVID19vaccine https://t.co/YKuq6gd6rw",['COVID19vaccine'],2021-02-26 21:38:03
47,dsharpe59,,"Hammond, La",224,35,280,0,So excited that I got my first dose of the COVID19 Vaccine today. It was quick and easy at @cvspharmacy. Looking forward to the 2nd dose. #COVID19Vaccine #vaccines #AstraZeneca #CDC,"['COVID19Vaccine', 'vaccines', 'AstraZeneca', 'CDC']",2021-02-26 21:37:38
48,HelenMaryPike,"Just back from a week in #twitterjail . 
Add ice and soda and shake well.
Nudnik. Prepper. EU citizen. 'Woke' and Marxist.","A chaise longue, Belvoir Vale",2030,768,27094,2,"@inabster @meNabster That's good to hear! I may get one of mine soon, although I'm but 40 something... #COVID19Vaccine",['COVID19Vaccine'],2021-02-26 21:37:32
49,Pam2189,"VERY proud Mom of a Sgt WA State Patrol. 6th Grt Granddaughter Major Edmund Polk Sr., Revolutionary War🇺🇸. Mbr: D.A.R., J.D., Matthew 5:9, Proud Christian",Washington State ,2375,2321,67850,0,"@USNationalGuard @MINationalGuard My Mom got her 2nd #COVID19Vaccine yesterday. So proud of her &amp; EVERYONE who makes the choice to get this vaccine.

#COVID19 is serious. My brother-in-law’s died last week in Az from this virus. He had no underlying medical conditions 🙁","['COVID19Vaccine', 'COVID19']",2021-02-26 21:36:11
50,PhelpsDunbar,A regional law firm of more than 300 lawyers uniquely equipped to serve clients in the major commercial centers of the burgeoning Third Coast of the U.S.,"New Orleans, Louisiana",456,676,1205,0,"As North Carolina enters Phase 3, employers need a plan to address vaccines in the workplace. Join Phelps Partner Nathan Huff, the @NCChamber and @OgletreeDeakins on March 9 as they talk through possible effects of vaccine distribution. #COVID19NC #COVID19Vaccine https://t.co/iTsm7uhvNa","['COVID19NC', 'COVID19Vaccine']",2021-02-26 21:36:03
51,meghanknorton,"Mama, photographer, traveler, tennis lover. Tendentiously progressive thinker living by reason and science in the reddest of states. Humanist.",Guthrie OK USA,558,845,9754,0,Moderna vax today. #COVID19Vaccine https://t.co/5WlGEvv6LN,['COVID19Vaccine'],2021-02-26 21:35:23
52,ktereiter,COS for #MI Sen Bayer. Truly tired of purposeful ignorance. Science believer. Black Lives Matter! Opinions are mine only. She/her. #maskup #vaccinate,"Southfield, MI",5000,1075,9786,1,"#Michigan and Oakland County peeps, here’s a good thread on finding a #COVID-19  vaccinations in our area. 

The sooner we are all vaccinated the sooner we can move on w/ our lives! 

#GetVaccinated #COVID19Vaccine https://t.co/2zgrmnnH4h","['Michigan', 'COVID', 'GetVaccinated', 'COVID19Vaccine']",2021-02-26 21:34:01
53,JohnnyHexburg,#SouthAfrica,,55,99,5016,0,"A Valid #COVID19 question. 
#Listen to this.
#Covid_19
#CoronaVirusUpdates
#COVID19Vaccine
#questiontime

https://t.co/F19txRraPk","['COVID19', 'Listen', 'Covid_19', 'CoronaVirusUpdates', 'COVID19Vaccine', 'questiontime']",2021-02-26 21:33:31
54,SickKidsCCMH,"SickKids CCMH offers community mental health services to children and youth, working with @SKCCMHLearning and @SickKidsNews. SickKids is here to help.","Toronto, Canada",623,2141,123,0,"Learn more about Black community concerns and issues related to the #COVID19 pandemic, including the safety of the #COVID19Vaccine, and #mentalhealth problems, in these free virtual public town halls  
https://t.co/TPoG3amXpn","['COVID19', 'COVID19Vaccine', 'mentalhealth']",2021-02-26 21:33:14
55,_NotoriousDRE,Loyalty • Gamer • Star Wars • Anime • BLM ✊🏿• Let’s Talk Games Podcast 👾🕹🎙• God is Good! PSN:NotoriousDRE25,Home,227,549,27910,0,"So my state of Indiana is prioritizing smokers of any legal age to get the #COVID19Vaccine before teachers and other essential workers. Just plain stupid. 

🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️🤦🏿‍♂️",['COVID19Vaccine'],2021-02-26 21:33:01
56,cenisabelphoto,Self taught PHOTOGRAPHER AND Creative Designer . TOMORROW WILL ALWAYS BE YESTERDAY. 🇵🇭🇺🇸Photographer @cenisabelphotography call me Madam Lipstick 💄,"Manteca, CA",345,188,4240,0,Now more people can have vaccines. #vaccines #COVID19Vaccine #johnsonandjohnson  and let’s bring back how we enjoy life without restrictions like before.,"['vaccines', 'COVID19Vaccine', 'johnsonandjohnson']",2021-02-26 21:32:44
57,CesarAvilaMD,"Your Health or Your Life. EM Doc, LCDR USN, Clinical Informaticist, family man... creator of https://t.co/kjocCBRCcq https://t.co/ebaYlfXAd2 and https://t.co/xcv7Z2gDz2","San Diego, CA",445,176,336,0,"#COVID19Vaccine works well. see article. 

Chance of severe COVID is 0.012% 42 days after vaccination. 

Get your vaccine when available

https://t.co/CJFoBrCnkn https://t.co/1n5jp2Ovlo",['COVID19Vaccine'],2021-02-26 21:32:04
58,ActionTime,"Lifelong Learner into News,Social Justice,Films/TV,Classical Music.Ray Bradbury Creative Prize Finalist.Would-Be Screenwriter & Novelist Followed By @TeamPelosi","Beautiful Vancouver, Canada",85329,91048,32172,1,Crucial #Covid19 Vaccine Update:#COVID-19 Vaccines. Here's Evidence #VaccinesSaveLives #CoronaVirusUpdates #CoronavirusVaccine #COVID19Vaccine #vaccination #VaccinationDrive #Vaccines4All #VaccinationStrategy #VaccinesWork #vaccinate2educate #FBR #IARTG https://t.co/eH8BNYgMJw,"['Covid19', 'COVID', 'VaccinesSaveLives', 'CoronaVirusUpdates', 'CoronavirusVaccine', 'COVID19Vaccine', 'vaccination', 'VaccinationDrive', 'Vaccines4All', 'VaccinationStrategy', 'VaccinesWork', 'vaccinate2educate', 'FBR', 'IARTG']",2021-02-26 21:31:17
59,UGHealthDept,"Official Twitter account for the Unified Government (Wyandotte County/KCK) Public Health Department
619 Ann Ave., 66101","Kansas City, KS",569,704,644,0,"#COVID19Vaccine Appointments &amp; Process, #WyCo Weekly Update - What happens when you complete the Vaccine Interest Form, how to take the second dose of the COVID-19 vaccine, and how does Vaccine prioritization work. 

#SleeveUp #Wyandotte #YoMeVacuno #ASL 
https://t.co/dwUVHN2LQE","['COVID19Vaccine', 'WyCo', 'SleeveUp', 'Wyandotte', 'YoMeVacuno', 'ASL']",2021-02-26 21:30:19
60,NanasBiskitz,#TeamMisty 🎀#BreastCancer Warrior 🥊|Lifelong learner| Educator| | inspired by #wellness | Dog Treat Baker #NanasBiskitz | Volunteer ❤️,"South Riding, VA",957,269,3196,0,"Matt got his second Moderna vaccine today. Fingers crossed his side effects are mild. 
Loudoun County Virginia is on top of taking care of the community!  Many thanks to all the leaders that are making this process run smoothly. #COVID19Vaccine #Loudoun #Virginia #StayHealthy https://t.co/JG6MZy53bA","['COVID19Vaccine', 'Loudoun', 'Virginia', 'StayHealthy']",2021-02-26 21:30:06
61,DocAmy22,"Mom & Doctor, love helping people walk again, Pennsylvania born, Ohio raised, Southern Transplantee, Sports Fanatic, and work in progress",,1923,803,11800,0,Amazing honor and desperately needed. Will give so many of the “underserved” (my patients included) access to desperately needed vaccines #thanks @POTUS ❤️🎉#COVID19Vaccine #trustThescience https://t.co/5wOnCiQGPj,"['thanks', 'COVID19Vaccine', 'trustThescience']",2021-02-26 21:29:15
62,MsRonnyB,"Liberal National Party (LNP) is a misnomer. They are not liberal in any sense. Capitalist ""regressives"" who create hardship & won't act on climate change.",Queensland Australia,7896,9337,275625,5,@WorldOfMarkyD Correct me if wrong but I seem to recall Aspen Medical being implicated in Ruby Princess disaster with a strong likelihood of being linked to Hillsong. #auspol #COVID19Vaccine #vaccine #Hillsong #AspenMedical #RubyPrincess #LNPfail,"['auspol', 'COVID19Vaccine', 'vaccine', 'Hillsong', 'AspenMedical', 'RubyPrincess', 'LNPfail']",2021-02-26 21:28:55
63,swfoley,"Scott William Foley is a writer, educator, and the founder of Advanced Writing, LLC. His work includes Souls Triumphant, Andropia, and Dr. Nekros.",,1778,799,5745,0,Receiving the Second Covid-19 Vaccine Dose: My Experience - https://t.co/OSU2hx0Q1m  |  #COVID19 #COVID19Vaccine,"['COVID19', 'COVID19Vaccine']",2021-02-26 21:28:36
64,PittCaregiving,"Our mission is to partner with government, academia and the broad family support community to translate research and training into services and support programs","Pittsburgh, PA",83,89,110,2,"Did you know: In PA, if you're an unpaid #caregiver for someone who is elderly/has a disability (and they receive state services), you're eligible for a #COVID19Vaccine as a health care worker? Learn more: 

https://t.co/Ie8SQQ4mNx https://t.co/uXwPSIvPQB","['caregiver', 'COVID19Vaccine']",2021-02-26 21:28:16
65,nhhoward,K&IM and UKeIG Information Manager of the Year 2020. CILIP mentor. Runner. Writer. She/her. Tweets = own views 🇬🇧 🇯🇲 #teamNELFT #healthliteracy,,1503,1355,12233,1,Great event this evening @ReachSociety10 holding space for members of black communities to discuss #COVID19Vaccine with trusted experts. Plus recognition that the health inequalities issues we face are much larger than COVID and need to be addressed collaboratively. Ubuntu! https://t.co/xf7yBZlg7g,['COVID19Vaccine'],2021-02-26 21:27:26
66,MogamboYogi,"Making a difference by sharing Truth (awareness). For you to question your faith, ideology, purpose, agenda and whether you are slave to the system. #dharma",Shamshan Ghat,236,133,1911,0,"@MeghUpdates @KyhanChase Hope others follow your example: WHO chief lauds #India, PM Modi #NarendraModi  for supporting vaccine equity #COVID19Vaccine https://t.co/zJaz6PYceD","['India', 'NarendraModi', 'COVID19Vaccine']",2021-02-26 21:27:11
67,jrfpsf,"Founder, Welcome Back Initiative;  President, APHA .       Director, Health Professions Advising  at Northwestern University. Tweets are my own.","Evanston, IL",193,264,968,0,"I just got my first shot of the Moderna Covid-19 vaccine today. I’m grateful for the work of Drs. Katalin Karikó, Hamilton Bennett, Özlem Türeci, and all the other scientists that have made this possible in record time. #COVID19Vaccine @PublicHealth",['COVID19Vaccine'],2021-02-26 21:25:55
68,petecarr2,,,322,67,357,0,How embarrassed am I after dropping my jeans for my Covid jab to hear those words 'it's going in your arm'! #COVID #COVID19Vaccine #NHSCOVID19app,"['COVID', 'COVID19Vaccine', 'NHSCOVID19app']",2021-02-26 21:25:51
69,Mcnudde,"Writer, editor, corporate communications & public relations professional. As well as a former educator, he is an evil genius in training. Opinions are his own.","Toronto, ON",2761,1552,9735,0,AstraZeneca #COVID19Vaccine approved for use in Canada #cdnmedia https://t.co/xYbekiNq4T,"['COVID19Vaccine', 'cdnmedia']",2021-02-26 21:25:47
